Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
36,Travel_Rarely,854,Sales,1,4,Marketing,1,100,3,Male,35,2,2,Sales Executive,4,Single,4916,25318,0,Y,No,14,3,4,80,0,17,1,1,16,13,3,9
46,Travel_Rarely,212,Research & Development,3,4,Other,1,101,4,Male,57,3,3,Research Director,4,Divorced,13907,16574,4,Y,Yes,5,3,2,80,0,18,5,4,1,0,1,1
38,Travel_Rarely,397,Research & Development,5,4,Medical,1,102,1,Male,30,1,3,Research Director,1,Single,15167,25258,4,Y,No,11,3,1,80,0,17,3,5,6,2,1,3
47,Travel_Rarely,1040,Human Resources,5,2,Medical,1,103,2,Male,88,3,2,Human Resources,1,Divorced,5272,11468,8,Y,Yes,5,3,1,80,1,17,4,3,5,2,1,3
31,Travel_Rarely,937,Research & Development,2,1,Life Sciences,1,104,5,Male,61,1,2,Laboratory Technician,4,Married,5997,17598,1,Y,Yes,17,3,3,80,2,11,1,1,11,8,4,1
36,Travel_Rarely,1275,Research & Development,1,3,Medical,1,105,4,Male,32,2,1,Research Scientist,1,Single,3288,27592,1,Y,Yes,15,4,0,80,0,7,6,3,7,4,1,0
56,Travel_Rarely,100,Sales,1,2,Life Sciences,1,106,1,Male,63,1,3,Sales Executive,2,Married,10751,16283,3,Y,No,5,3,4,80,1,25,4,3,2,0,2,1
39,Non-Travel,602,Research & Development,6,3,Medical,1,107,4,Female,83,4,2,Research Scientist,1,Divorced,6235,16503,7,Y,Yes,17,3,1,80,3,18,0,3,14,11,2,10
35,Travel_Rarely,1182,Research & Development,1,2,Medical,1,110,1,Male,96,1,2,Manufacturing Director,2,Married,4974,18179,1,Y,No,15,4,4,80,0,6,2,3,6,2,2,4
57,Travel_Rarely,1260,Research & Development,5,3,Life Sciences,1,112,2,Male,44,0,3,Manufacturing Director,4,Single,7768,19528,4,Y,No,7,2,1,80,0,38,3,2,7,4,1,3
24,Travel_Rarely,595,Sales,2,1,Technical Degree,1,113,3,Male,68,1,1,Sales Representative,1,Divorced,2717,10470,3,Y,No,17,2,4,80,1,4,0,3,1,0,1,1
52,Travel_Rarely,454,Research & Development,9,4,Life Sciences,1,116,5,Male,101,4,1,Laboratory Technician,2,Married,2366,19661,3,Y,No,14,3,4,80,2,11,6,3,5,2,1,4
31,Travel_Rarely,302,Research & Development,2,3,Life Sciences,1,117,3,Male,104,2,2,Healthcare Representative,1,Married,4858,16622,1,Y,No,17,3,1,80,3,12,6,3,12,10,11,9
41,Travel_Frequently,583,Research & Development,1,4,Life Sciences,1,119,3,Male,86,2,4,Healthcare Representative,1,Married,15799,15527,1,Y,No,17,4,2,80,1,23,3,1,23,3,12,12
52,Travel_Rarely,695,Sales,21,4,Marketing,1,120,4,Male,78,1,2,Sales Executive,2,Single,6203,9265,0,Y,Yes,14,2,1,80,0,12,2,0,11,7,2,1
31,Travel_Rarely,1367,Sales,4,2,Medical,1,121,1,Female,65,2,2,Sales Executive,1,Divorced,6095,20254,1,Y,Yes,17,3,4,80,3,12,7,2,12,8,3,8
47,Travel_Frequently,893,Research & Development,1,3,Medical,1,124,3,Male,56,4,5,Healthcare Representative,1,Married,12808,4399,2,Y,Yes,20,5,4,80,1,22,8,2,11,9,10,6
33,Travel_Rarely,1202,Sales,6,4,Medical,1,125,4,Male,96,3,2,Sales Executive,4,Single,5862,26731,1,Y,No,17,4,1,80,0,13,1,1,12,8,6,8
55,Travel_Rarely,1339,Research & Development,2,4,Technical Degree,1,126,1,Female,66,1,3,Research Director,4,Divorced,14226,26401,9,Y,No,5,3,1,80,1,17,5,4,5,3,1,4
25,Travel_Rarely,1488,Sales,3,2,Other,1,128,1,Female,36,3,2,Sales Executive,1,Married,5699,19271,0,Y,No,14,2,4,80,1,5,2,2,4,2,1,3
29,Non-Travel,123,Sales,3,3,Medical,1,129,1,Male,44,4,2,Sales Executive,1,Married,4432,9085,1,Y,No,5,2,2,80,0,6,4,4,6,4,1,5
59,Travel_Rarely,699,Sales,10,4,Medical,1,131,5,Male,38,3,4,Sales Executive,1,Single,14566,25019,0,Y,No,5,4,3,80,0,39,1,1,38,10,2,9
45,Non-Travel,440,Research & Development,46,3,Medical,1,132,2,Male,60,3,2,Laboratory Technician,1,Married,2267,22539,4,Y,No,11,2,1,80,1,18,6,4,4,2,2,3
33,Travel_Rarely,1158,Research & Development,1,1,Life Sciences,1,134,4,Male,99,3,3,Research Director,1,Married,3104,21249,1,Y,No,5,5,2,80,0,2,5,3,2,0,0,0
35,Travel_Rarely,865,Research & Development,3,4,Other,1,138,1,Female,53,3,3,Research Director,4,Single,5819,16227,1,Y,No,21,4,4,80,0,17,6,3,17,0,0,11
38,Non-Travel,1066,Research & Development,2,2,Life Sciences,1,139,4,Male,102,2,2,Healthcare Representative,1,Divorced,6041,16246,5,Y,No,17,3,5,80,1,18,2,4,2,0,1,1
60,Non-Travel,1455,Human Resources,2,4,Human Resources,1,140,3,Female,33,2,5,Manager,1,Married,22047,22470,9,Y,No,17,4,4,80,1,31,3,1,4,2,3,3
51,Travel_Frequently,1227,Research & Development,2,3,Life Sciences,1,141,0,Female,80,3,5,Research Director,4,Married,20898,10731,3,Y,Yes,15,4,0,80,0,29,-1,4,9,3,1,8
26,Travel_Rarely,1408,Research & Development,4,1,Medical,1,143,5,Male,70,1,1,Research Scientist,2,Married,3380,29587,1,Y,No,17,3,3,80,2,3,1,3,3,2,3,2
23,Travel_Rarely,481,Research & Development,15,3,Medical,1,144,1,Female,53,3,1,Laboratory Technician,4,Single,3072,21407,1,Y,No,7,2,3,80,0,2,7,3,1,0,1,0
52,Travel_Frequently,1893,Research & Development,1,4,Medical,1,145,3,Female,39,1,5,Healthcare Representative,2,Single,9205,33535,3,Y,Yes,23,5,4,80,0,24,4,2,14,12,13,9
55,Non-Travel,149,Human Resources,26,3,Human Resources,1,148,1,Female,32,4,4,Manager,2,Single,20274,14565,2,Y,No,17,4,3,80,0,24,3,3,6,3,5,5
25,Travel_Rarely,1240,Research & Development,18,1,Life Sciences,1,150,2,Male,57,1,1,Laboratory Technician,1,Married,3246,14583,0,Y,No,17,4,3,80,1,7,2,1,6,3,2,3
35,Travel_Rarely,1134,Research & Development,3,4,Life Sciences,1,151,3,Female,50,2,2,Research Scientist,4,Divorced,5271,16500,6,Y,No,17,4,1,80,1,13,0,3,2,0,1,1
38,Travel_Rarely,1308,Sales,3,3,Life Sciences,1,152,1,Male,96,3,3,Sales Executive,5,Single,8542,15957,2,Y,No,15,2,0,80,0,13,1,1,6,3,2,4
35,Travel_Rarely,1388,Research & Development,4,3,Medical,1,153,1,Female,46,2,3,Manager,4,Single,13376,5755,2,Y,No,15,2,2,80,0,15,6,3,12,10,6,9
37,Travel_Frequently,1320,Sales,11,2,Technical Degree,1,154,1,Female,83,4,3,Sales Executive,3,Married,10225,20657,0,Y,No,5,3,3,80,1,11,7,3,10,7,3,9
37,Travel_Rarely,1014,Research & Development,2,2,Life Sciences,1,155,4,Female,43,3,1,Laboratory Technician,4,Divorced,2977,2817,5,Y,No,5,3,4,80,1,8,5,3,2,0,1,1
44,Travel_Frequently,433,Sales,26,2,Life Sciences,1,158,3,Male,101,3,4,Manager,5,Married,19333,21443,1,Y,Yes,14,3,2,80,2,26,6,4,26,12,5,13
31,Travel_Frequently,1574,Research & Development,23,3,Life Sciences,1,159,3,Male,115,1,3,Research Director,4,Divorced,2744,26772,1,Y,No,5,5,4,80,3,11,2,1,11,0,0,10
34,Non-Travel,675,Sales,33,2,Marketing,1,160,2,Male,86,3,2,Sales Executive,1,Divorced,6822,13932,0,Y,No,11,3,1,80,1,9,4,4,8,7,1,8
52,Travel_Rarely,821,Research & Development,6,3,Life Sciences,1,162,3,Male,61,1,5,Research Director,1,Single,24031,7754,7,Y,No,23,2,4,80,0,24,5,3,21,18,16,16
27,Travel_Rarely,862,Research & Development,3,3,Other,1,164,1,Female,47,2,1,Research Scientist,4,Married,2700,23882,1,Y,No,14,3,3,80,0,6,5,2,6,4,5,4
23,Travel_Rarely,624,Research & Development,2,1,Technical Degree,1,169,1,Male,105,3,1,Laboratory Technician,4,Married,2901,20264,0,Y,No,15,3,1,80,1,4,1,3,3,1,3,2
50,Travel_Rarely,494,Research & Development,20,4,Medical,1,170,4,Female,101,3,2,Manufacturing Director,1,Married,7683,5826,1,Y,Yes,17,2,3,80,0,17,2,2,16,11,6,12
44,Travel_Frequently,1148,Research & Development,28,3,Medical,1,171,1,Female,86,4,3,Research Director,1,Single,5734,19308,4,Y,No,21,4,4,80,0,19,3,3,4,0,0,3
51,Travel_Frequently,890,Sales,12,3,Marketing,1,174,4,Female,85,1,3,Sales Executive,1,Married,10773,7310,4,Y,Yes,17,2,5,80,0,17,6,3,3,2,3,2
42,Travel_Rarely,882,Sales,14,1,Life Sciences,1,176,3,Male,106,3,3,Sales Executive,3,Divorced,8598,23316,3,Y,Yes,5,3,4,80,1,13,5,1,10,7,1,8
27,Travel_Rarely,1389,Human Resources,25,1,Life Sciences,1,177,1,Female,63,3,1,Human Resources,3,Divorced,3089,9139,1,Y,Yes,5,3,5,80,1,9,3,3,9,7,6,8
37,Travel_Rarely,302,Research & Development,6,2,Medical,1,178,3,Male,118,3,2,Manufacturing Director,2,Divorced,5188,3947,6,Y,No,5,4,4,80,3,8,-3,3,4,2,1,2
40,Travel_Rarely,1395,Sales,8,4,Life Sciences,1,182,5,Female,49,2,2,Sales Executive,1,Married,6197,15320,4,Y,No,5,3,3,80,1,18,1,4,16,11,6,10
26,Travel_Rarely,863,Sales,42,3,Life Sciences,1,183,1,Male,37,2,2,Sales Executive,3,Married,9244,22352,2,Y,No,7,2,2,80,0,7,3,1,3,2,3,3
31,Travel_Rarely,1302,Human Resources,9,3,Human Resources,1,184,1,Male,50,1,2,Human Resources,4,Married,7426,14681,0,Y,Yes,17,4,2,80,0,13,5,1,12,9,5,8
46,Travel_Rarely,1382,Research & Development,29,3,Medical,1,192,1,Male,87,3,1,Research Scientist,2,Single,3970,10240,5,Y,Yes,15,4,4,80,0,10,5,2,7,5,1,4
39,Travel_Rarely,373,Research & Development,3,5,Technical Degree,1,193,5,Female,33,3,2,Research Scientist,4,Single,4965,2360,3,Y,Yes,15,4,4,80,0,20,2,1,4,2,3,3
31,Travel_Rarely,394,Research & Development,27,3,Life Sciences,1,194,1,Female,68,4,1,Research Scientist,2,Single,2816,21519,1,Y,No,7,2,2,80,0,6,4,2,6,4,1,5
33,Travel_Frequently,620,Sales,7,2,Medical,1,195,3,Male,32,1,2,Sales Executive,2,Divorced,4901,20531,0,Y,No,5,3,4,80,3,10,2,4,9,7,1,8
31,Travel_Rarely,206,Research & Development,4,3,Technical Degree,1,197,2,Female,86,3,1,Research Scientist,1,Divorced,3749,10675,5,Y,No,17,4,5,80,1,9,6,1,4,2,3,3
31,Travel_Rarely,1498,Research & Development,2,1,Medical,1,198,1,Male,37,2,1,Laboratory Technician,1,Single,3101,11720,0,Y,No,14,4,5,80,0,7,3,3,6,3,2,3
42,Travel_Frequently,771,Research & Development,5,3,Life Sciences,1,199,3,Male,82,2,4,Manager,1,Married,18384,11599,4,Y,No,7,3,2,80,1,22,1,2,8,6,8,8
42,Travel_Rarely,1026,Research & Development,7,4,Life Sciences,1,200,4,Male,103,3,1,Laboratory Technician,1,Divorced,2350,7657,2,Y,No,5,3,2,80,1,8,1,3,6,0,2,5
20,Travel_Rarely,1299,Research & Development,3,1,Medical,1,201,1,Female,87,3,1,Laboratory Technician,4,Single,1557,17712,1,Y,No,5,4,2,80,0,2,1,3,2,0,1,1
41,Travel_Frequently,1256,Research & Development,13,3,Medical,1,202,1,Female,49,4,2,Research Scientist,2,Divorced,5997,7654,1,Y,No,7,2,1,80,1,21,2,3,21,7,3,14
36,Travel_Rarely,861,Sales,1,5,Marketing,1,204,4,Male,122,3,3,Sales Executive,1,Divorced,8973,14871,1,Y,No,23,5,3,80,2,11,6,3,11,8,1,7
54,Travel_Rarely,1472,Sales,6,2,Marketing,1,205,4,Male,35,3,2,Sales Representative,4,Married,2629,16448,2,Y,Yes,14,3,5,80,1,14,3,1,8,7,5,6
46,Travel_Rarely,213,Research & Development,9,3,Life Sciences,1,206,1,Male,66,3,2,Laboratory Technician,1,Divorced,2465,11991,8,Y,No,5,2,4,80,1,21,2,1,18,9,1,16
33,Travel_Frequently,991,Sales,8,3,Marketing,1,207,2,Female,44,3,3,Sales Executive,5,Single,10348,15979,1,Y,No,15,4,4,80,0,10,4,1,10,8,4,8
30,Non-Travel,1533,Research & Development,1,1,Technical Degree,1,208,2,Male,42,3,2,Manufacturing Director,4,Married,5053,26940,1,Y,No,17,2,4,80,1,11,4,3,11,7,1,10
52,Travel_Rarely,1286,Research & Development,7,4,Medical,1,211,4,Male,37,4,2,Manufacturing Director,3,Married,6439,15381,2,Y,No,5,2,3,80,0,11,5,4,2,0,1,1
59,Travel_Rarely,1489,Research & Development,14,3,Medical,1,214,3,Female,98,2,3,Research Director,4,Divorced,4015,15435,4,Y,Yes,20,4,4,80,2,10,3,2,2,0,0,1
41,Travel_Rarely,693,Sales,4,4,Marketing,1,215,1,Male,74,2,3,Sales Executive,1,Divorced,12700,9407,7,Y,No,17,4,4,80,1,16,2,2,13,11,3,12
35,Travel_Frequently,318,Sales,2,4,Marketing,1,216,4,Female,79,3,1,Sales Representative,4,Married,2610,11880,6,Y,No,17,3,2,80,1,7,6,3,5,3,2,3
23,Travel_Rarely,1319,Research & Development,29,1,Medical,1,217,1,Male,84,3,1,Research Scientist,5,Married,2671,12592,1,Y,No,15,3,0,80,2,3,7,3,3,2,3,3
28,Non-Travel,726,Research & Development,5,3,Medical,1,218,5,Male,60,4,1,Research Scientist,2,Divorced,2368,6269,6,Y,No,17,4,4,80,1,7,1,4,3,2,3,3
29,Travel_Rarely,440,Research & Development,21,3,Medical,1,221,1,Male,42,3,1,Research Scientist,2,Divorced,3011,6672,1,Y,No,11,3,1,80,1,6,4,1,6,2,1,3
58,Travel_Rarely,367,Research & Development,18,2,Life Sciences,1,223,1,Male,91,4,3,Healthcare Representative,2,Divorced,9911,25742,3,Y,Yes,5,3,1,80,1,13,5,1,6,3,2,5
28,Non-Travel,1595,Research & Development,3,3,Medical,1,224,1,Male,87,2,1,Research Scientist,1,Divorced,2951,27859,1,Y,Yes,15,3,4,80,1,2,3,1,2,1,1,2
51,Travel_Rarely,1525,Research & Development,11,3,Life Sciences,1,226,4,Female,56,3,5,Manager,1,Single,22716,17906,3,Y,No,14,3,1,80,0,22,8,3,6,4,5,5
42,Travel_Rarely,488,Research & Development,14,3,Life Sciences,1,227,1,Male,59,3,1,Research Scientist,1,Divorced,2819,4839,4,Y,Yes,15,3,1,80,1,14,3,3,10,8,2,9
31,Travel_Rarely,1875,Sales,5,3,Life Sciences,1,228,3,Female,57,1,3,Sales Executive,4,Married,11303,11274,2,Y,Yes,20,5,1,80,1,13,2,3,11,9,8,5
39,Travel_Rarely,737,Sales,1,4,Life Sciences,1,230,0,Female,62,2,2,Sales Executive,5,Single,9989,13577,4,Y,No,15,4,1,80,0,13,4,5,9,3,1,8
