EmployeeNumber,Attrition,Age,DistanceFromHome,MonthlyIncome,PercentSalaryHike,TrainingTimesLastYear,RatioYearsPerCompany,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,WorkLifeBalance,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Gender,OverTime
36,0,44,7,10248,14,4,6,22,6,5,17,1,4,1,2,3,4,3,4,1,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
38,0,46,2,18947,12,2,5.5,2,2,2,1,1,4,2,3,5,1,3,4,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
39,0,33,2,2496,11,3,1.4,1,1,0,0,1,3,3,3,1,4,3,4,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
40,0,44,10,6465,13,5,3,4,2,1,3,1,4,4,3,2,4,3,4,0,4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
41,0,30,9,2206,13,5,5,10,0,1,8,1,2,4,2,1,3,3,1,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
42,1,39,5,2086,14,6,4.75,1,0,0,0,1,3,4,3,2,4,3,3,1,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
45,1,24,1,2293,16,2,2,2,0,2,0,1,3,2,3,1,4,3,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
46,0,43,2,2645,12,3,3,5,3,1,4,1,2,4,4,1,3,3,4,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
47,1,50,3,2683,14,2,1.5,3,2,0,2,1,2,1,2,1,3,3,3,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
49,0,35,2,2014,13,3,1,2,2,2,2,1,3,4,3,1,4,3,1,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
51,0,36,5,3419,14,3,0.6,1,1,0,0,1,4,2,2,1,1,3,4,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
52,0,33,1,5376,19,3,3.333333333,5,3,1,3,2,3,3,4,2,1,3,1,2,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
53,0,35,4,1951,12,3,0.5,1,0,0,0,1,2,3,3,1,4,3,3,1,3,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
54,0,27,2,2341,13,6,0.5,1,0,0,0,1,4,4,3,1,1,3,4,1,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
55,1,26,25,2293,12,2,0.5,1,0,0,1,1,3,1,1,1,3,3,3,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
56,0,27,8,8726,15,0,4.5,9,8,1,7,2,3,4,3,3,3,3,4,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
57,0,30,1,4011,23,2,6,12,8,3,7,2,2,3,3,2,4,4,4,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
58,1,41,12,19545,12,0,11.5,22,15,15,8,1,3,2,3,5,3,3,4,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
60,0,34,23,4568,20,2,10,9,5,8,7,0,4,2,3,2,3,4,3,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
61,0,37,19,3022,21,1,1.6,1,0,0,0,1,2,2,3,1,2,4,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
62,0,46,5,5772,21,4,2.8,9,6,0,8,2,4,1,3,2,4,4,3,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
63,0,35,8,2269,19,2,0.5,1,0,0,1,1,1,4,4,1,4,3,4,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
64,1,48,1,5381,13,2,2.3,1,0,0,0,1,2,1,2,3,3,3,4,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
65,1,28,5,3441,13,3,1,2,2,2,2,1,4,3,3,1,3,3,3,0,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
68,0,44,1,5454,21,2,1.5,4,3,1,3,1,5,2,3,2,1,4,3,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
70,0,35,11,9884,13,3,3.333333333,4,0,2,3,0,2,3,2,3,1,3,3,1,3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
72,0,26,23,4157,19,2,0.625,2,2,0,0,1,3,3,2,2,4,3,3,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
73,0,33,1,13458,12,1,7.5,15,14,8,12,2,2,1,3,3,4,3,3,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
74,0,35,18,9069,22,3,4.5,9,8,1,8,2,5,2,3,3,1,4,4,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
75,0,35,23,4014,15,3,1,2,2,2,2,1,4,3,3,1,1,3,3,1,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1
76,0,31,7,5915,22,3,2.5,7,7,1,7,1,4,4,3,2,4,4,4,1,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
77,0,37,1,5993,18,2,3.5,7,5,0,7,1,4,1,2,2,3,3,3,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
78,0,32,1,6162,22,3,4.5,9,8,7,8,1,3,1,3,2,4,4,2,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
79,0,38,29,2406,11,2,5,10,3,9,9,2,5,4,3,2,4,3,4,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
80,0,50,7,18740,12,2,4.833333333,27,3,13,8,1,2,2,2,5,3,3,4,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
81,0,59,25,7637,11,3,3.5,21,16,7,9,1,3,1,3,3,1,3,4,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
83,0,36,8,10096,13,2,8.5,17,14,12,8,1,3,3,3,3,3,3,2,3,3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
84,0,55,8,14756,14,2,7,5,0,0,2,1,3,4,3,4,3,3,3,3,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
85,0,36,11,6499,13,3,3,6,5,0,3,2,3,2,2,2,2,3,3,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
86,0,45,7,9724,17,2,8.333333333,1,0,0,0,1,3,2,3,3,1,3,3,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
88,0,35,1,2194,13,2,1,3,2,1,2,2,3,2,3,1,1,3,4,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
90,1,36,9,3388,17,0,2,1,0,0,0,1,3,4,2,1,3,3,1,1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
91,0,59,1,5473,11,2,2.5,4,3,1,3,2,1,1,2,2,3,3,4,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
94,0,29,2,2703,23,3,6,5,4,0,4,1,3,3,3,1,2,4,4,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
95,0,31,1,2501,17,4,0.5,1,1,1,0,1,4,3,3,1,2,3,2,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
96,0,32,1,6220,17,3,5,10,4,0,9,1,3,2,3,2,2,3,2,2,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
97,0,36,6,3038,12,3,1.25,1,0,0,0,1,3,2,4,1,4,3,2,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
98,0,31,8,4424,23,2,5.5,11,7,1,8,1,4,3,3,2,4,4,4,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
100,0,35,1,4312,14,2,16,15,13,2,8,1,4,3,2,2,1,3,2,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
101,0,45,6,13245,14,3,3.4,0,0,0,0,1,4,4,3,3,1,3,2,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
102,0,37,7,13664,13,3,3.2,5,2,0,2,1,4,1,3,3,3,3,1,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
103,0,46,5,5021,22,2,1.777777778,4,2,0,2,1,2,2,3,2,2,4,4,1,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
104,0,30,1,5126,12,1,5,10,8,3,0,1,1,4,2,2,4,3,3,2,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
105,0,35,1,2859,18,3,3,6,4,0,4,1,3,2,2,1,3,3,1,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
106,0,55,1,10239,14,4,6,1,0,1,0,1,2,1,3,3,4,3,4,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
107,0,38,6,5329,12,3,2.125,13,11,1,9,0,3,2,1,2,4,3,4,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
110,0,34,1,4325,15,2,2.5,5,2,1,3,1,2,1,3,2,2,3,3,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
112,0,56,7,7260,11,3,7.4,6,4,0,2,1,3,4,1,3,4,3,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
113,0,23,2,2322,13,3,0.75,0,0,0,0,1,1,3,3,1,1,3,3,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
116,0,51,9,2075,23,4,2.5,4,2,0,3,1,4,4,3,1,4,4,2,2,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
117,0,30,2,4152,19,3,5.5,11,10,10,8,1,3,3,2,2,4,3,1,3,3,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
118,1,46,9,9619,16,3,4.5,9,8,4,7,1,2,3,2,3,4,3,4,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
119,0,40,1,13503,22,3,11,22,3,11,11,2,4,3,2,4,2,4,4,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
120,0,51,21,5441,22,2,11,10,7,1,0,1,4,3,3,2,4,4,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
121,0,30,4,5209,12,4,5.5,11,8,2,7,1,2,3,2,2,2,3,2,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
124,0,46,1,10673,13,5,7,10,9,9,5,2,3,3,2,3,1,3,3,1,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
125,0,32,6,5010,16,0,6,11,8,5,7,1,4,2,3,2,3,3,1,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
126,0,54,2,13549,12,5,1.6,4,3,0,3,1,4,1,3,3,3,3,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
128,0,24,3,4999,21,2,4,3,2,0,2,1,2,1,3,2,3,4,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
129,0,28,4,4221,15,3,2.5,5,4,0,4,0,3,2,3,2,3,3,2,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
131,0,58,10,13872,13,1,38,37,10,1,8,1,4,4,3,4,3,3,3,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
132,0,44,23,2042,12,3,3.4,3,2,1,2,0,3,2,3,2,2,3,3,1,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
133,1,37,6,2073,22,3,1.4,3,2,0,2,1,4,3,3,1,1,4,4,0,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
134,0,32,1,2956,13,2,0.5,1,0,0,0,1,1,4,3,1,1,3,4,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
137,1,20,6,2926,18,5,0.5,1,0,1,0,2,3,4,2,1,4,3,2,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
138,0,34,6,4809,14,3,8,16,13,2,10,1,4,1,3,2,3,3,3,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
139,0,37,2,5163,14,2,2.833333333,1,0,0,0,0,2,3,2,2,4,3,4,1,4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
140,0,59,2,18844,21,3,3,3,2,2,2,0,4,3,2,5,4,4,4,1,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
141,0,50,1,18172,19,1,7,8,3,0,7,2,3,1,3,5,2,3,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
142,1,25,5,5744,11,1,3,6,4,0,3,1,3,3,2,2,3,3,4,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
143,0,25,7,2889,11,2,1,2,2,2,1,1,1,4,2,1,4,3,3,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
144,0,22,15,2871,15,5,0.5,0,0,0,0,1,3,2,3,1,4,3,3,0,3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
145,0,51,1,7484,20,1,5.75,13,12,12,8,2,4,1,2,3,1,4,3,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
147,1,34,7,6074,24,3,4.5,9,7,0,6,2,3,1,1,2,3,4,4,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
148,0,54,26,17328,12,3,7.666666667,5,3,4,4,0,3,4,4,4,4,3,3,0,3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
150,0,24,18,2774,12,2,6,5,3,1,2,1,1,2,3,1,3,3,3,1,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
151,0,34,6,4505,15,3,1.714285714,1,0,0,0,1,4,3,2,2,2,3,3,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
152,0,37,3,7428,12,3,4,5,3,1,3,1,3,3,3,3,4,3,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
153,0,34,5,11631,12,6,4.666666667,11,10,5,8,1,3,3,2,3,1,3,4,0,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
154,0,36,11,9738,14,6,10,9,7,2,8,2,2,2,3,3,4,3,3,1,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
155,0,36,3,2835,22,2,1.166666667,1,0,0,0,1,2,1,3,1,4,4,1,1,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
158,0,43,26,16959,12,3,12.5,25,12,4,12,2,2,3,3,4,4,3,4,2,4,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
159,0,30,23,2613,25,2,5,10,7,0,9,2,3,1,1,1,3,4,3,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
160,0,33,22,6146,13,2,8,7,7,0,7,0,2,3,3,2,2,3,1,1,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
161,1,56,14,4963,18,2,0.7,5,4,4,3,1,4,2,3,1,2,3,1,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
162,0,51,6,19537,13,5,2.875,20,18,15,15,1,3,1,3,5,3,3,3,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
163,1,31,6,6172,18,3,2.4,7,7,7,7,1,4,2,1,2,3,3,2,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
164,0,26,6,2368,19,3,2.5,5,4,4,3,1,3,3,2,1,2,3,3,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
165,1,58,23,10312,12,3,20,40,10,15,6,1,4,4,3,3,4,3,4,1,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
167,1,19,22,1675,19,2,0,0,0,0,0,1,1,4,3,1,3,3,4,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
169,0,22,2,2523,14,2,3,2,1,2,1,1,1,3,3,1,4,3,3,1,3,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
170,0,49,20,6567,14,2,8,15,11,5,11,1,4,3,3,2,1,3,3,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
171,0,43,28,4739,12,2,3.6,3,2,1,2,2,3,2,4,1,3,3,4,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
174,0,50,12,9208,11,3,3.2,2,2,2,1,2,3,3,3,3,4,3,4,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
175,1,31,20,4559,11,2,1,2,2,2,2,1,3,2,1,2,3,3,3,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
176,0,41,9,8189,13,2,3,9,7,0,7,1,1,3,3,3,3,3,3,1,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
177,0,26,25,2942,23,3,4,8,7,5,7,1,1,3,3,1,3,4,4,1,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
178,0,36,6,4941,20,0,1,3,2,0,1,1,2,2,3,2,2,4,4,2,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
179,1,51,8,10650,15,2,6,4,2,0,3,2,4,1,1,3,4,3,4,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
182,0,39,4,5902,14,1,3.4,15,11,5,9,1,4,4,2,2,3,3,3,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
183,0,25,28,8639,18,3,2,2,2,2,2,1,3,1,2,2,3,3,4,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
184,0,30,9,6347,19,2,12,11,9,4,7,1,3,3,3,2,4,3,4,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
190,1,32,9,4200,22,2,1.25,5,4,0,4,1,3,1,3,1,1,4,1,0,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
192,0,45,29,3452,13,2,1.5,6,5,0,3,1,3,3,3,1,4,3,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
